future_bin,context_bin,future_low,future_high,context_low,context_high,count,mean_key_distance,mean_key_similarity
1,1,0.028920615338304163,0.15505894613237972,0.05267574441842732,0.29680335402970087,249,0.01751672313846548,0.9824832768615345
1,2,0.028920615338304163,0.15505894613237972,0.29680335402970087,0.3849656715461956,292,0.019593785807820747,0.9804062141921792
1,3,0.028920615338304163,0.15505894613237972,0.3849656715461956,0.46373145529099874,305,0.02620535008257462,0.9737946499174254
1,4,0.028920615338304163,0.15505894613237972,0.46373145529099874,0.5495643971468022,324,0.02826524447301502,0.971734755526985
1,5,0.028920615338304163,0.15505894613237972,0.5495643971468022,0.6506163746059588,337,0.030504362406461018,0.969495637593539
1,6,0.028920615338304163,0.15505894613237972,0.6506163746059588,0.7723527872807162,392,0.03973703155091334,0.9602629684490867
1,7,0.028920615338304163,0.15505894613237972,0.7723527872807162,0.94121432420032,394,0.05531410627339712,0.9446858937266028
1,8,0.028920615338304163,0.15505894613237972,0.94121432420032,2.068084674749669,507,0.08426574812413161,0.9157342518758684
2,1,0.15505894613237972,0.20766645993650434,0.05267574441842732,0.29680335402970087,297,0.02795567346685274,0.9720443265331472
2,2,0.15505894613237972,0.20766645993650434,0.29680335402970087,0.3849656715461956,284,0.027613919159109702,0.9723860808408903
2,3,0.15505894613237972,0.20766645993650434,0.3849656715461956,0.46373145529099874,319,0.03253405094065411,0.9674659490593459
2,4,0.15505894613237972,0.20766645993650434,0.46373145529099874,0.5495643971468022,355,0.036722334843259034,0.963277665156741
2,5,0.15505894613237972,0.20766645993650434,0.5495643971468022,0.6506163746059588,343,0.04175947001894505,0.9582405299810549
2,6,0.15505894613237972,0.20766645993650434,0.6506163746059588,0.7723527872807162,384,0.05025221948359526,0.9497477805164047
2,7,0.15505894613237972,0.20766645993650434,0.7723527872807162,0.94121432420032,386,0.06983948040459656,0.9301605195954035
2,8,0.15505894613237972,0.20766645993650434,0.94121432420032,2.068084674749669,432,0.09590161961693838,0.9040983803830616
3,1,0.20766645993650434,0.25932322378806477,0.05267574441842732,0.29680335402970087,344,0.03638907095955628,0.9636109290404438
3,2,0.20766645993650434,0.25932322378806477,0.29680335402970087,0.3849656715461956,319,0.04075721148286752,0.9592427885171325
3,3,0.20766645993650434,0.25932322378806477,0.3849656715461956,0.46373145529099874,318,0.0414959510423071,0.9585040489576929
3,4,0.20766645993650434,0.25932322378806477,0.46373145529099874,0.5495643971468022,318,0.04645305897234182,0.9535469410276581
3,5,0.20766645993650434,0.25932322378806477,0.5495643971468022,0.6506163746059588,352,0.05140342138582746,0.9485965786141726
3,6,0.20766645993650434,0.25932322378806477,0.6506163746059588,0.7723527872807162,356,0.06528797578875191,0.9347120242112481
