selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,1420550,0.00016611814498901367,0.023109376430511475,0.013226440805118509,0.696523602078611,0.674244225025177
pretrained,2,1420550,0.023109376430511475,0.04258483648300171,0.03275457368192088,0.7326017314870055,0.7092664241790771
pretrained,3,1420550,0.04258483648300171,0.06371492147445679,0.05296411610884087,0.762798659803004,0.7400375008583069
pretrained,4,1420550,0.06371498107910156,0.08765369653701782,0.07540779552638126,0.7949481787666725,0.7714267075061798
pretrained,5,1420549,0.08765369653701782,0.11562275886535645,0.10124228454197898,0.8330244347204923,0.809604287147522
pretrained,6,1420549,0.115622878074646,0.14962917566299438,0.13200117593750627,0.8827398519614399,0.8589469194412231
pretrained,7,1420549,0.14962917566299438,0.19379442930221558,0.17063147879042842,0.9467290694020067,0.9239205718040466
pretrained,8,1420549,0.19379442930221558,0.25543975830078125,0.22268836454442,1.034680343964417,1.0150909423828125
pretrained,9,1420549,0.2554398775100708,0.3517618179321289,0.2994848321971568,1.1752664878708416,1.166593074798584
pretrained,10,1420549,0.3517618179321289,0.8670990467071533,0.442903770763442,1.5308756445422707,1.5203096866607666
raw_l1,1,1420550,0.0,0.28634676337242126,0.20870506362469649,0.8590234467431933,0.8019095063209534
raw_l1,2,1420550,0.28634679317474365,0.3848373591899872,0.3384229118332625,0.9091771293724348,0.8452015221118927
raw_l1,3,1420550,0.38483738899230957,0.46449947357177734,0.4254719712023775,0.924106778695961,0.8583754599094391
raw_l1,4,1420550,0.46449950337409973,0.5359999537467957,0.5006577297312452,0.9316198198018587,0.8666554391384125
raw_l1,5,1420549,0.5359999537467957,0.6022251844406128,0.5694374546096448,0.9391490853023913,0.8769637942314148
raw_l1,6,1420549,0.6022251844406128,0.6695815324783325,0.6352630987004568,0.945321058428238,0.8836971521377563
raw_l1,7,1420549,0.6695816516876221,0.7444337606430054,0.706345256233132,0.9533682055351694,0.8903335332870483
raw_l1,8,1420549,0.7444337606430054,0.8386958837509155,0.7887584399051547,0.9629243675652143,0.8970854878425598
raw_l1,9,1420549,0.8386959433555603,0.985770583152771,0.9052778263403389,0.9736460737926635,0.9068924188613892
raw_l1,10,1420549,0.9857707023620605,7.624304294586182,1.2108314260123392,0.991851590902735,0.9176830053329468
random,1,1420550,0.00012004375457763672,0.017794489860534668,0.009757787711953233,0.7867343010449374,0.7573862075805664
random,2,1420550,0.017794549465179443,0.052810072898864746,0.03198146523847268,0.8749716762555576,0.8376438915729523
random,3,1420550,0.05281013250350952,0.19088178873062134,0.10731865668728151,0.9753066906009927,0.9301035106182098
random,4,1420550,0.19088178873062134,0.31633347272872925,0.2633248412745886,0.9603392835174756,0.8872670531272888
random,5,1420549,0.316333532333374,0.398609459400177,0.35843324394555853,0.9465328558269914,0.8750507831573486
random,6,1420549,0.3986095190048218,0.4707980751991272,0.4351852321570478,0.950675550076062,0.8832890391349792
random,7,1420549,0.470798134803772,0.5455092191696167,0.5073922051376588,0.9567447718895982,0.8876665234565735
random,8,1420549,0.5455092191696167,0.635286808013916,0.5886728226887648,0.9642714425991302,0.8944809436798096
random,9,1420549,0.635286808013916,0.7518429756164551,0.6905955754245456,0.9639110094347845,0.8938177227973938
random,10,1420549,0.7518429756164551,1.4748563766479492,0.8880580491184299,1.010699993602044,0.9331692457199097
