selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.2455212679126928,0.24599262888186618,429800
pretrained,kendall,0.17098342538868933,0.17275829062017709,429800
pretrained,recall_at_1,0.045100046533271286,0.20752357055517345,429800
pretrained,ndcg_at_5,0.21217555777104308,0.20406704988114696,429800
pretrained,recall_at_5,0.12010516519311308,0.1641086819297548,429800
raw_l1,spearman,0.10163863638781352,0.1609092572434542,429800
raw_l1,kendall,0.06904900053261762,0.10967857514424342,429800
raw_l1,recall_at_1,0.032387156817124244,0.1770260683922773,429800
raw_l1,ndcg_at_5,0.1692820952683117,0.18168811812554148,429800
raw_l1,recall_at_5,0.0895798045602606,0.13708502346774473,429800
random,spearman,0.014093851068872789,0.15693466474835513,429800
random,kendall,0.009850196080659986,0.10685995405745148,429800
random,recall_at_1,0.028117729176361097,0.1653091724083268,429800
random,ndcg_at_5,0.1501007528900573,0.16488275971714955,429800
random,recall_at_5,0.07541973010702652,0.12196543919888898,429800
