selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,474815,8.344650268554688e-07,0.0027588605880737305,0.0013918637068195841,0.8788177965802852,0.8577040433883667
pretrained,2,474815,0.0027588605880737305,0.005947709083557129,0.004293776543649596,0.886346314272969,0.8692156672477722
pretrained,3,474815,0.005947709083557129,0.010114312171936035,0.007927419777578713,0.9041060002447094,0.8860684633255005
pretrained,4,474815,0.010114312171936035,0.015899658203125,0.012835890395083737,0.9254859044036212,0.9059551954269409
pretrained,5,474815,0.015899658203125,0.024430155754089355,0.01986968973550808,0.9468811759428332,0.9251905083656311
pretrained,6,474815,0.024430155754089355,0.03794175386428833,0.03063716503269365,0.9700408027554358,0.9473880529403687
pretrained,7,474815,0.037941813468933105,0.06125795841217041,0.04844924380719689,0.9910992617582411,0.9679389595985413
pretrained,8,474815,0.061258018016815186,0.10632562637329102,0.08111841743908763,1.0149177882337468,0.994807779788971
pretrained,9,474815,0.10632622241973877,0.20669186115264893,0.14916763657154655,1.0515780099501169,1.035959005355835
pretrained,10,474814,0.2066919207572937,1.6167147159576416,0.3347856335343907,1.1566447213601894,1.1469374299049377
random,1,474815,6.943941116333008e-05,0.006193280220031738,0.0037350477229855543,0.8875111226192982,0.8859508633613586
random,2,474815,0.006193280220031738,0.011204779148101807,0.008641842440880561,0.9037612304181105,0.8998939990997314
random,3,474815,0.011204838752746582,0.017317652702331543,0.014141309819438869,0.9144956729563672,0.9094457030296326
random,4,474815,0.017317652702331543,0.025385141372680664,0.021134407968344267,0.9268175120378317,0.9203950762748718
random,5,474815,0.02538520097732544,0.03692471981048584,0.03078427260766835,0.9425691382831013,0.9353588819503784
random,6,474815,0.036924779415130615,0.054740071296691895,0.04512817906535992,0.9602094013799285,0.9513160586357117
random,7,474815,0.05474013090133667,0.0852125883102417,0.06841772489943508,0.9802814383189048,0.9706673622131348
random,8,474815,0.0852125883102417,0.14910674095153809,0.11271100046246453,1.0087522283766457,0.9973211288452148
random,9,474815,0.14910703897476196,0.30031055212020874,0.21347635465331938,1.0497600639711402,1.036102294921875
random,10,474814,0.3003111481666565,1.7884594202041626,0.5306458554077446,1.1517599568530987,1.1368803977966309
