selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,5669403,0.0003922581672668457,0.07912266254425049,0.05270422988462055,0.5521121906833762,0.5114376544952393
pretrained,2,5669403,0.07912272214889526,0.1157083511352539,0.09801550160699378,0.6029502524938376,0.5553227663040161
pretrained,3,5669403,0.1157083511352539,0.14836770296096802,0.1321518030506142,0.649315415847769,0.5971192717552185
pretrained,4,5669403,0.14836770296096802,0.18095284700393677,0.16459092011556628,0.7042840847407336,0.6501145362854004
pretrained,5,5669402,0.18095284700393677,0.21527868509292603,0.19789128067681333,0.7699062642745174,0.7155903279781342
pretrained,6,5669402,0.2152787446975708,0.25336605310440063,0.23392022894523398,0.8495686935826682,0.796147346496582
pretrained,7,5669402,0.25336605310440063,0.2977141737937927,0.274859895437994,0.9476023136597644,0.8965317010879517
pretrained,8,5669402,0.2977142333984375,0.35294389724731445,0.3241360695819686,1.0769878856239439,1.0322893857955933
pretrained,9,5669402,0.35294389724731445,0.43052834272384644,0.38885464197156433,1.2780415030004086,1.2392878532409668
pretrained,10,5669402,0.4305284023284912,0.9020971059799194,0.5055134827897686,1.7267506241232264,1.680627465248108
raw_l1,1,5669403,0.0,0.47089046239852905,0.32552171147509495,0.7381122171919599,0.6147373914718628
raw_l1,2,5669403,0.4708905816078186,0.6298274993896484,0.5587942933499002,0.8412444180867742,0.7169260382652283
raw_l1,3,5669403,0.6298274993896484,0.7315549254417419,0.6828272425862459,0.8766885582016187,0.7551495432853699
raw_l1,4,5669403,0.7315549254417419,0.818398654460907,0.7754432573639489,0.9059582485579647,0.7913264632225037
raw_l1,5,5669402,0.818398654460907,0.9042945504188538,0.8612279372019148,0.9235536266318921,0.8097341954708099
raw_l1,6,5669402,0.9042945504188538,0.9920873641967773,0.947908132367653,0.9412119937267736,0.8288297653198242
raw_l1,7,5669402,0.9920873641967773,1.087873935699463,1.0389893668239003,0.9593673912806224,0.8475909233093262
raw_l1,8,5669402,1.087873935699463,1.2026985883712769,1.1429263726751075,0.9750105793143599,0.8605755865573883
raw_l1,9,5669402,1.2026985883712769,1.3743348121643066,1.2800461470381492,0.9882981428695561,0.868899792432785
raw_l1,10,5669402,1.3743348121643066,9.272153854370117,1.5937090664737767,1.0080739016517035,0.8781479001045227
random,1,5669403,0.0005325078964233398,0.2163715958595276,0.12343020232450917,0.8095049186285188,0.7150161266326904
random,2,5669403,0.21637165546417236,0.38807857036590576,0.3054658070011043,0.9493135623774546,0.8365813493728638
random,3,5669403,0.38807857036590576,0.5005313158035278,0.45046095868661984,0.9546250944210968,0.8329050540924072
random,4,5669403,0.5005313158035278,0.5659826397895813,0.5350920413510962,0.9123053813689845,0.7876675724983215
random,5,5669402,0.5659826397895813,0.6196427941322327,0.5931886369567574,0.9085609600004176,0.7823244631290436
random,6,5669402,0.6196427941322327,0.6725505590438843,0.6458898600072009,0.9112969985182902,0.7842402458190918
random,7,5669402,0.6725505590438843,0.7297899127006531,0.7006804627838454,0.9055181009185251,0.7798894643783569
random,8,5669402,0.7297899723052979,0.7954299449920654,0.7615990333141937,0.9021479019067231,0.7776748538017273
random,9,5669402,0.7954300045967102,0.8845154643058777,0.8367039765633607,0.9221525758171617,0.8008193075656891
random,10,5669402,0.8845155239105225,1.4424275159835815,0.9800467065644969,0.9820935370351822,0.862755686044693
