selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.30106394535422343,0.3782134129631167,429800
pretrained,kendall,0.23870514966339182,0.3127775516821487,429800
pretrained,recall_at_1,0.16292461610051187,0.36929687998819144,429800
pretrained,ndcg_at_5,0.505037795102654,0.3043982031155309,429800
pretrained,recall_at_5,0.541046533271289,0.21414577164967888,429800
raw_l1,spearman,0.11668204961774999,0.37916714673430263,429800
raw_l1,kendall,0.09731767013706467,0.3118257684218984,429800
raw_l1,recall_at_1,0.17654025127966497,0.3812791509613104,429800
raw_l1,ndcg_at_5,0.4162408375918626,0.30532841863741683,429800
raw_l1,recall_at_5,0.4743620288506282,0.22314709401222876,429800
random,spearman,0.1133010793980327,0.36641764121424214,429800
random,kendall,0.09439959471619574,0.29917184155011706,429800
random,recall_at_1,0.13642159143787808,0.3432356928226357,429800
random,ndcg_at_5,0.4293318392932504,0.30911334909154636,429800
random,recall_at_5,0.46600139599813883,0.21054203352486967,429800
