type,node,i,j,context_distance,future_distance,key_distance,future_overlap_fraction,context_overlap_fraction,sample_i,sample_j,node_id
context_similar_future_different,38,3913,4293,0.2663483224627947,3.5349383252721025,0.11156411468982697,1.0,0.9583333333333334,13608,14761,38
context_similar_future_different,91,2822,3006,0.27140990033138007,3.5731248331105854,0.10933142155408859,1.0,1.0,9843,10428,91
context_similar_future_different,38,3516,4266,0.27876468406326493,3.494912009219806,0.11277420818805695,1.0,0.9583333333333334,12363,14668,38
context_different_future_similar,145,1301,2881,4.725750898056212,0.19676510055661797,0.016517624258995056,1.0,1.0,4557,10019,145
context_different_future_similar,36,206,1970,8.396851865981464,0.22688109197919235,0.016592781990766525,1.0,0.9826388888888888,977,6728,36
context_different_future_similar,2,2334,3952,4.635870735943755,0.29032871095211904,0.019550755620002747,1.0,0.9965277777777778,8261,13725,2
