selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,313259,9.238719940185547e-06,0.01957613229751587,0.009266679772586068,0.4953255086530184,0.0
pretrained,2,313259,0.019576191902160645,0.039067625999450684,0.029441408890131533,0.903272100067014,0.884362518787384
pretrained,3,313259,0.039067625999450684,0.05789339542388916,0.04848321212434052,0.9413678953289749,0.9047667384147644
pretrained,4,313259,0.05789339542388916,0.07716888189315796,0.06743966480275482,0.9630848087735796,0.9206650257110596
pretrained,5,313259,0.07716894149780273,0.09772104024887085,0.08728903101231712,0.9776719184043386,0.9331344366073608
pretrained,6,313259,0.09772109985351562,0.1210554838180542,0.10906688128110772,0.9868194618567299,0.9440358877182007
pretrained,7,313259,0.12105560302734375,0.1499255895614624,0.13492149838425252,1.0042369438774943,0.9620762467384338
pretrained,8,313259,0.14992564916610718,0.1887868046760559,0.16817854856026776,1.035691670019962,0.996087908744812
pretrained,9,313259,0.18878686428070068,0.2512098550796509,0.2167545227199541,1.0912127137422596,1.0578793287277222
pretrained,10,313259,0.25121015310287476,0.7846018671989441,0.3332732073521898,1.291080536419141,1.2654000520706177
raw_l1,1,313259,0.0,0.12894919514656067,0.04490459937685668,0.4869815327904002,0.0
raw_l1,2,313259,0.12894919514656067,0.27307483553886414,0.21305242552051132,1.033222837969492,1.0144637823104858
raw_l1,3,313259,0.27307629585266113,0.36899855732917786,0.3226229861742138,1.0148565836611771,0.9688630104064941
raw_l1,4,313259,0.36899858713150024,0.4478714168071747,0.4086477049965277,1.018390906546194,0.974159836769104
raw_l1,5,313259,0.4478714168071747,0.531304657459259,0.488192171046658,1.0049202327634044,0.9544546604156494
raw_l1,6,313259,0.531304657459259,0.6280393004417419,0.5783550759377325,1.006162672422053,0.9530407786369324
raw_l1,7,313259,0.6280393600463867,0.735329270362854,0.6780054961659056,1.0424752099931696,0.9922096133232117
raw_l1,8,313259,0.735329270362854,0.8885347843170166,0.8083005446414473,1.002941975755441,0.9443493485450745
raw_l1,9,313259,0.8885348439216614,1.1123658418655396,0.9901348551227296,1.0208900252428676,0.964206337928772
raw_l1,10,313259,1.1123665571212769,4.043852806091309,1.466159700087365,1.0589215799983136,0.9917533993721008
random,1,313259,0.0,0.009394228458404541,0.0022355118340174505,0.32351717063972324,0.0
random,2,313259,0.009394228458404541,0.04966163635253906,0.025837471021336746,0.9091196764839274,0.8709356188774109
random,3,313259,0.04966169595718384,0.19162285327911377,0.10785858775832638,1.0170624345969101,0.9718473553657532
random,4,313259,0.19162416458129883,0.28827333450317383,0.24655443032486196,1.0935293578250183,1.0633399486541748
random,5,313259,0.28827333450317383,0.35917478799819946,0.32358904882586553,1.0523510330852504,1.004210114479065
random,6,313259,0.35917478799819946,0.42985594272613525,0.39447958836868396,1.0355446862544724,0.9892514944076538
random,7,313259,0.4298560619354248,0.5062711834907532,0.4670040285413896,1.040584749752099,0.9912980198860168
random,8,313259,0.506271243095398,0.5968406200408936,0.5499773619821953,1.0678861803386988,1.0189895629882812
random,9,313259,0.5968406200408936,0.7110186815261841,0.6510087959418774,1.0656617341213723,1.024471640586853
random,10,313259,0.7110191583633423,1.4662503004074097,0.8142183201854055,1.0845065340450402,1.0375566482543945
