selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.3169752895940785,0.3868992279821846,252620
pretrained,kendall,0.2616192677295486,0.33666372628461955,252620
pretrained,recall_at_1,0.16305518169582772,0.3694160113178209,252620
pretrained,ndcg_at_5,0.5424895431344786,0.32819676438513723,252620
pretrained,recall_at_5,0.5513379779906579,0.2264617518243297,252620
raw_l1,spearman,0.18978804203988894,0.413216590891203,252620
raw_l1,kendall,0.1613111008682632,0.3561923818589928,252620
raw_l1,recall_at_1,0.2738342174016309,0.4459249250509184,252620
raw_l1,ndcg_at_5,0.4854493491155578,0.3449171497452546,252620
raw_l1,recall_at_5,0.5148855989232841,0.25454886343687433,252620
random,spearman,0.1970451771372486,0.39899766407519366,252620
random,kendall,0.17159573545754642,0.35197292147722087,252620
random,recall_at_1,0.15238698440345183,0.35939559177579516,252620
random,ndcg_at_5,0.503979583692478,0.34430380260710397,252620
random,recall_at_5,0.5069171087008154,0.2359411980309006,252620
