selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,474815,9.441375732421875e-05,0.006461024284362793,0.003806165393767162,0.8095480539476433,0.8054949045181274
pretrained,2,474815,0.006461083889007568,0.012518882751464844,0.009368844450084379,0.843156592686597,0.8414987325668335
pretrained,3,474815,0.012518882751464844,0.020416617393493652,0.016287226978745805,0.8739277692396532,0.8711475729942322
pretrained,4,474815,0.020416676998138428,0.031052112579345703,0.025454560294829735,0.8995800104927051,0.8953710198402405
pretrained,5,474815,0.031052112579345703,0.04571330547332764,0.03796943409486612,0.9251789103018373,0.920103907585144
pretrained,6,474815,0.04571330547332764,0.06658101081848145,0.05552222424614567,0.9519132092122874,0.9452545046806335
pretrained,7,474815,0.0665813684463501,0.09777313470840454,0.08105425106417469,0.9845797981445693,0.9764354825019836
pretrained,8,474815,0.09777319431304932,0.14876967668533325,0.12097751755858678,1.029061357072092,1.0210928916931152
pretrained,9,474815,0.14876985549926758,0.24280095100402832,0.1905989517778999,1.103242054926225,1.096755027770996
pretrained,10,474814,0.24280112981796265,0.796168863773346,0.33348822265709893,1.305730333465275,1.3048650622367859
random,1,474815,0.00013750791549682617,0.006080329418182373,0.003807723023822833,0.8827918124541316,0.881872832775116
random,2,474815,0.0060803890228271484,0.0103224515914917,0.00817710736523886,0.897338119300115,0.8940556049346924
random,3,474815,0.0103224515914917,0.015262484550476074,0.012699953151324396,0.9101710825410201,0.9063551425933838
random,4,474815,0.015262484550476074,0.02179098129272461,0.018352022962677746,0.9259696454391151,0.9206740856170654
random,5,474815,0.02179098129272461,0.03113734722137451,0.026155809750672485,0.9444817475663049,0.9366773366928101
random,6,474815,0.031137466430664062,0.045594632625579834,0.037795932259195135,0.9636255652342086,0.9549216032028198
random,7,474815,0.04559469223022461,0.071014404296875,0.056875607845183515,0.9858805374753967,0.9761936664581299
random,8,474815,0.07101446390151978,0.12720352411270142,0.09511106754026426,1.0132370292127428,1.0020335912704468
random,9,474815,0.1272035837173462,0.25347721576690674,0.1827256770092697,1.0525782394016083,1.0387874841690063
random,10,474814,0.2534773349761963,1.250925064086914,0.41024961690102374,1.1498439825545819,1.134486973285675
