node,gate_mean,gate_std,deviation_mean,deviation_std,error_mean,error_std
0,0.5014549092828793,0.0025811327225647826,0.31205211253931925,0.26788557697629595,8.304669760648352,17.676183850531924
1,0.5020568202707889,0.0015929115482750183,0.2683033969715564,0.25089229745222646,7.771916965220096,18.071270300284834
2,0.5012924776286104,0.0024488843137299454,0.3015276100687737,0.2878813036088371,8.129648081577606,18.487674070610808
3,0.5018137996214149,0.0026894973933887633,0.316249498437791,0.2513909811691219,8.176384493486724,15.540010611903963
4,0.5023995448725067,0.0029644688919874076,0.38527182878368965,0.31899053982729136,10.563444834242771,16.55530453554809
5,0.5024800610716326,0.0029009402039570824,0.4096944047499747,0.2501404571518928,9.50884737265371,15.723056164947078
6,0.5018789989060729,0.002436103056966705,0.2938839778238839,0.24871822295158827,8.712423121372279,17.503917689128173
7,0.5020254300980672,0.0017109431346471,0.26261451564130994,0.23724562101248411,7.692384292539889,17.654109700531656
8,0.5018330625373951,0.0034674443819856173,0.3374144021525,0.301263075587053,9.083728913355918,17.55704821323105
9,0.5014056616804026,0.003320073433494422,0.34752547940198525,0.3071824210364389,8.914238969252928,17.69540771589041
10,0.5008757930254414,0.002290009925122962,0.35544673137421157,0.29102150597173176,8.57718741322956,17.62160423628592
11,0.5018782565367483,0.00233781883415448,0.3131761640005738,0.32483166333614627,9.249741514651445,18.921869477431102
12,0.5014745800860607,0.0036526772815331883,0.4088748312692573,0.3576884893081467,8.640304076863032,15.910934661812385
13,0.5019992359885334,0.002504782708927757,0.3529296651808885,0.3797852324006469,10.514990560260133,20.572567283048024
14,0.5010948197859048,0.0035308368802540917,0.3707817857891974,0.27290063513986146,9.097876347729759,15.872349357752139
15,0.5017353217793207,0.0027146660858612063,0.353850590399582,0.26626096657779197,9.454012469201192,15.688978600964276
16,0.5013742960630542,0.001953638076681605,0.41191518261484855,0.48838111103641674,7.038549379223455,10.973029584058626
17,0.5017375896968981,0.002805581983361016,0.317738202288203,0.23392607265856755,8.810723718204638,16.763702711565372
18,0.5022355559272488,0.0021357057038355128,0.3096354583754157,0.3150315498140189,8.503941067187455,16.726110879153342
19,0.5020952055402046,0.002245634672590168,0.2760997488289854,0.23402361909169392,8.257417333978806,17.18835479072237
20,0.5018567150178617,0.002753611246377316,0.3306919531056481,0.3027365318952415,9.02124124579186,18.49512520154543
21,0.501342987091872,0.0026445539852154704,0.3121544554546802,0.31851653982871,8.768525439492107,17.84641946187906
22,0.5003476948111597,0.0018487731740287274,0.32169049705902153,0.2970824689503068,7.279131148261746,13.882873529534768
23,0.5015234928409549,0.003434066097071333,0.41575263266145746,0.31226130280861447,11.339726849019963,18.007945122341564
24,0.5015035074644715,0.0021464448731902436,0.2798516744723285,0.27107778600016025,8.469971420051408,18.166039607682688
25,0.5023620068765905,0.003048268858131298,0.48309138603889157,0.36367180544550426,13.426841366552088,19.303504629940566
26,0.501593270475847,0.0023529879805879133,0.3492607080762404,0.23738345034667857,9.767577588436378,16.081050745857844
27,0.5011930453864327,0.0018244818315316916,0.25911234759066226,0.22735671836085455,7.494625313664875,17.146334136904088
