Experiment directory: D:\projects\researchProjects\TrafficRobustST\log\metrla_dha_anchor_q75
Using device: cuda:0
Trainable parameters: 508946
DHA fusion mode: learned_gate
epoch=12/100 batches=375 lr=0.001 train_loss=2.2306 train_mae=2.2306 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5054 gate_smooth=0.0000 val_mae=3.0453 val_rmse=6.5009 val_mape=8.87% val_15min_mae=2.6274 val_15min_rmse=5.3434 val_15min_mape=7.04% val_30min_mae=3.0592 val_30min_rmse=6.5026 val_30min_mape=8.86% val_60min_mae=3.6500 val_60min_rmse=7.8893 val_60min_mape=11.54% best_val_mae=3.0308 improved=False train_time=110.02s val_time=5.93s
epoch=13/100 batches=375 lr=0.001 train_loss=2.2189 train_mae=2.2189 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5052 gate_smooth=0.0000 val_mae=3.0472 val_rmse=6.4987 val_mape=8.60% val_15min_mae=2.6368 val_15min_rmse=5.3105 val_15min_mape=6.96% val_30min_mae=3.0558 val_30min_rmse=6.4806 val_30min_mape=8.60% val_60min_mae=3.6441 val_60min_rmse=7.9362 val_60min_mape=10.99% best_val_mae=3.0308 improved=False train_time=110.05s val_time=5.93s
epoch=14/100 batches=375 lr=0.001 train_loss=2.2054 train_mae=2.2054 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5048 gate_smooth=0.0000 val_mae=2.9777 val_rmse=6.3694 val_mape=8.53% val_15min_mae=2.5959 val_15min_rmse=5.2635 val_15min_mape=6.88% val_30min_mae=2.9966 val_30min_rmse=6.3794 val_30min_mape=8.55% val_60min_mae=3.5273 val_60min_rmse=7.6934 val_60min_mape=10.90% best_val_mae=2.9777 improved=True train_time=110.25s val_time=5.95s
epoch=15/100 batches=375 lr=0.001 train_loss=2.1885 train_mae=2.1885 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5045 gate_smooth=0.0000 val_mae=2.9957 val_rmse=6.4037 val_mape=8.50% val_15min_mae=2.5911 val_15min_rmse=5.2293 val_15min_mape=6.89% val_30min_mae=3.0077 val_30min_rmse=6.3884 val_30min_mape=8.52% val_60min_mae=3.5835 val_60min_rmse=7.8140 val_60min_mape=10.82% best_val_mae=2.9777 improved=False train_time=110.08s val_time=5.93s
epoch=16/100 batches=375 lr=0.001 train_loss=2.1666 train_mae=2.1666 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5042 gate_smooth=0.0000 val_mae=2.9599 val_rmse=6.3616 val_mape=8.44% val_15min_mae=2.5714 val_15min_rmse=5.1831 val_15min_mape=6.77% val_30min_mae=2.9726 val_30min_rmse=6.3400 val_30min_mape=8.44% val_60min_mae=3.5316 val_60min_rmse=7.7855 val_60min_mape=10.89% best_val_mae=2.9599 improved=True train_time=110.12s val_time=5.94s
epoch=17/100 batches=375 lr=0.001 train_loss=2.1475 train_mae=2.1475 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5041 gate_smooth=0.0000 val_mae=2.9584 val_rmse=6.3357 val_mape=8.34% val_15min_mae=2.5691 val_15min_rmse=5.1711 val_15min_mape=6.75% val_30min_mae=2.9791 val_30min_rmse=6.3413 val_30min_mape=8.39% val_60min_mae=3.5191 val_60min_rmse=7.7025 val_60min_mape=10.62% best_val_mae=2.9584 improved=True train_time=110.08s val_time=5.98s
epoch=18/100 batches=375 lr=0.001 train_loss=2.1355 train_mae=2.1355 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5038 gate_smooth=0.0000 val_mae=2.9845 val_rmse=6.3718 val_mape=8.53% val_15min_mae=2.5684 val_15min_rmse=5.1540 val_15min_mape=6.84% val_30min_mae=2.9971 val_30min_rmse=6.3520 val_30min_mape=8.55% val_60min_mae=3.5912 val_60min_rmse=7.8042 val_60min_mape=10.94% best_val_mae=2.9584 improved=False train_time=110.09s val_time=5.94s
epoch=19/100 batches=375 lr=0.001 train_loss=2.1205 train_mae=2.1205 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5036 gate_smooth=0.0000 val_mae=2.9675 val_rmse=6.3935 val_mape=8.97% val_15min_mae=2.5601 val_15min_rmse=5.1342 val_15min_mape=6.98% val_30min_mae=2.9842 val_30min_rmse=6.3688 val_30min_mape=8.97% val_60min_mae=3.5622 val_60min_rmse=7.8691 val_60min_mape=11.84% best_val_mae=2.9584 improved=False train_time=110.03s val_time=5.94s
epoch=20/100 batches=375 lr=0.001 train_loss=2.1104 train_mae=2.1104 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5033 gate_smooth=0.0000 val_mae=2.9251 val_rmse=6.2364 val_mape=8.38% val_15min_mae=2.5344 val_15min_rmse=5.0655 val_15min_mape=6.67% val_30min_mae=2.9500 val_30min_rmse=6.2503 val_30min_mape=8.41% val_60min_mae=3.4791 val_60min_rmse=7.5735 val_60min_mape=10.81% best_val_mae=2.9251 improved=True train_time=110.05s val_time=5.94s
epoch=21/100 batches=375 lr=0.001 train_loss=2.0992 train_mae=2.0992 contrastive=0.0000 deviation=0.0000 gate_sparse=0.5032 gate_smooth=0.0000 val_mae=2.9092 val_rmse=6.2275 val_mape=7.99% val_15min_mae=2.5241 val_15min_rmse=5.0471 val_15min_mape=6.52% val_30min_mae=2.9258 val_30min_rmse=6.2198 val_30min_mape=8.06% val_60min_mae=3.4715 val_60min_rmse=7.6061 val_60min_mape=10.05% best_val_mae=2.9092 improved=True train_time=110.05s val_time=5.94s
