selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.3028994356350001,0.23553042327892085,1596400
pretrained,kendall,0.2118505715852168,0.16730850572330377,1596400
pretrained,recall_at_1,0.04439050363317464,0.2059611293918533,1596400
pretrained,ndcg_at_5,0.24171035108630648,0.20587918110932701,1596400
pretrained,recall_at_5,0.12659696817840152,0.17539958441458056,1596400
raw_l1,spearman,0.13071358546825962,0.1682470848326461,1596400
raw_l1,kendall,0.08840840330310203,0.1143481304983874,1596400
raw_l1,recall_at_1,0.03152593335003758,0.17473422354091536,1596400
raw_l1,ndcg_at_5,0.19850419849943815,0.18590318407577547,1596400
raw_l1,recall_at_5,0.09711914307191176,0.14734217386177498,1596400
random,spearman,0.013246210531042331,0.15116298344722065,1596400
random,kendall,0.009268779981038127,0.10260276272966436,1596400
random,recall_at_1,0.023699574041593587,0.15211148619299147,1596400
random,ndcg_at_5,0.17769291690403577,0.16736237616917712,1596400
random,recall_at_5,0.07941906790278133,0.12595425098921126,1596400
