selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,15325440,0.00028443336486816406,0.10813260078430176,0.07153182594049362,0.5816284463832742,0.49397413432598114
pretrained,2,15325440,0.10813260078430176,0.1483023762702942,0.12961779708917592,0.6486509319148323,0.5460385382175446
pretrained,3,15325440,0.1483023762702942,0.17850089073181152,0.16383651175356065,0.6883569914094676,0.5748196542263031
pretrained,4,15325440,0.17850089073181152,0.2054961919784546,0.19212235703933767,0.7287720915766167,0.6065573394298553
pretrained,5,15325440,0.2054961919784546,0.2322225570678711,0.2187891894091236,0.7781692390311702,0.6478557884693146
pretrained,6,15325440,0.2322225570678711,0.2606872320175171,0.24623166315458547,0.8408085064468914,0.7021130919456482
pretrained,7,15325440,0.2606872320175171,0.29316848516464233,0.2764725522765866,0.9228651469971251,0.7763347625732422
pretrained,8,15325440,0.29316848516464233,0.3338997960090637,0.31254096455621355,1.0379133836912393,0.8874630928039551
pretrained,9,15325440,0.3338997960090637,0.39482492208480835,0.3616591953819755,1.2291969619242633,1.090807020664215
pretrained,10,15325440,0.39482492208480835,0.8486605882644653,0.4627427187038774,1.7150650879220928,1.6515916585922241
raw_l1,1,15325440,0.0,0.45452138781547546,0.30802088047538256,0.7056446955561045,0.5447738468647003
raw_l1,2,15325440,0.45452144742012024,0.602764368057251,0.5358851152764087,0.8153077476849891,0.630030483007431
raw_l1,3,15325440,0.6027644276618958,0.7027781009674072,0.6547522273728943,0.8448785475895962,0.6482361257076263
raw_l1,4,15325440,0.7027781009674072,0.7928030490875244,0.7477371668853828,0.871977057569527,0.6741799116134644
raw_l1,5,15325440,0.7928030490875244,0.8879478573799133,0.8397464198419741,0.906535194465058,0.7133358716964722
raw_l1,6,15325440,0.8879478573799133,0.9913422465324402,0.9388769719026403,0.9443394182209763,0.7552187144756317
raw_l1,7,15325440,0.9913422465324402,1.102842092514038,1.0464789961096586,0.9703044773553886,0.7808660864830017
raw_l1,8,15325440,1.102842092514038,1.2266288995742798,1.1631546273831597,0.9960872777598314,0.8025279343128204
raw_l1,9,15325440,1.2266288995742798,1.3924959897994995,1.3028730666138257,1.026065699652686,0.8318448960781097
raw_l1,10,15325440,1.3924959897994995,8.162217140197754,1.633122379202584,1.0902866714428117,0.9086231887340546
random,1,15325440,4.13060188293457e-05,0.21661484241485596,0.119988523077473,0.7897190068059893,0.634237676858902
random,2,15325440,0.21661484241485596,0.3969608545303345,0.3109177305938807,0.9868823469639214,0.8008116483688354
random,3,15325440,0.3969608545303345,0.502951979637146,0.4560600390868464,1.003118323491691,0.8028221726417542
random,4,15325440,0.502951979637146,0.5672433972358704,0.5366159797195845,0.935032473829166,0.7332583665847778
random,5,15325440,0.5672433972358704,0.6211721897125244,0.5945547678953457,0.9118832535456821,0.7118028402328491
random,6,15325440,0.6211721897125244,0.6741102933883667,0.6474681703651717,0.9087442981086757,0.707513302564621
random,7,15325440,0.6741102933883667,0.7312004566192627,0.7021852327525572,0.9058312375655302,0.7040440440177917
random,8,15325440,0.7312004566192627,0.7960821986198425,0.7626749878913884,0.8961501337898561,0.6960931122303009
random,9,15325440,0.7960821986198425,0.8844413757324219,0.8369750363259088,0.9055510674537581,0.7043750286102295
random,10,15325440,0.8844413757324219,1.4834742546081543,0.9778894992871595,0.9285146457426959,0.7286060154438019
