selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.34322403838722193,0.30369278160999025,1596400
pretrained,kendall,0.2530743744453749,0.23755827908891763,1596400
pretrained,recall_at_1,0.06537208719619143,0.24718126428150858,1596400
pretrained,ndcg_at_5,0.30053277149591684,0.2529633738440176,1596400
pretrained,recall_at_5,0.23800563768479086,0.2043204023798222,1596400
raw_l1,spearman,0.07511638123337032,0.25820555857969657,1596400
raw_l1,kendall,0.05564691056267036,0.20080917638821125,1596400
raw_l1,recall_at_1,0.06199511400651466,0.2411466770366822,1596400
raw_l1,ndcg_at_5,0.21164792248520178,0.22505518889139314,1596400
raw_l1,recall_at_5,0.17726208970182925,0.20855206095440945,1596400
random,spearman,0.07409808185162353,0.24474644476866242,1596400
random,kendall,0.05544577695717942,0.19026037929596404,1596400
random,recall_at_1,0.04707341518416437,0.2117959130084045,1596400
random,ndcg_at_5,0.23811848137316216,0.23333801966466994,1596400
random,recall_at_5,0.17989388624404903,0.17212055690402356,1596400
