selector,bin,count,key_distance_min,key_distance_max,key_distance_mean,future_distance_mean,future_distance_median
pretrained,1,474815,6.788969039916992e-05,0.0058441162109375,0.0033836050105524483,0.811928240378272,0.8081302046775818
pretrained,2,474815,0.0058441162109375,0.011672496795654297,0.008624462881487249,0.8465836007815559,0.8451345562934875
pretrained,3,474815,0.011672556400299072,0.019470810890197754,0.015383203792266726,0.8765865721161761,0.8750167489051819
pretrained,4,474815,0.019470810890197754,0.03008580207824707,0.024487313673608044,0.9030658592283303,0.8998399972915649
pretrained,5,474815,0.03008580207824707,0.04488182067871094,0.0370650917772744,0.9267237135253412,0.9229509234428406
pretrained,6,474815,0.04488188028335571,0.06612491607666016,0.05483047465294003,0.953106785489737,0.9484279751777649
pretrained,7,474815,0.06612491607666016,0.0979698896408081,0.08086419080611613,0.9825570517855071,0.9769910573959351
pretrained,8,474815,0.0979698896408081,0.15124547481536865,0.12200084502394483,1.0249198724392437,1.019202470779419
pretrained,9,474815,0.15124571323394775,0.2636430263519287,0.19925192309444223,1.0982592448125938,1.0955336093902588
pretrained,10,474814,0.2636449933052063,0.8982217311859131,0.389986824997127,1.3021871414698694,1.3118362426757812
random,1,474815,0.00012671947479248047,0.005506455898284912,0.0034645945068814826,0.8801221036557455,0.8792346119880676
random,2,474815,0.005506455898284912,0.009319901466369629,0.007386190191573633,0.8957463191655561,0.8922802805900574
random,3,474815,0.009319901466369629,0.01383596658706665,0.01149002803667096,0.9104594414935431,0.9068554639816284
random,4,474815,0.013836026191711426,0.01983010768890381,0.01666659492237373,0.9274174237782514,0.9220922589302063
random,5,474815,0.01983010768890381,0.028398573398590088,0.023833925857746605,0.9461590527379999,0.9387012124061584
random,6,474815,0.028398633003234863,0.04169505834579468,0.03451627256552346,0.9653987965154187,0.9567391276359558
random,7,474815,0.04169511795043945,0.06546902656555176,0.052247329913288044,0.9874998896711172,0.9771552085876465
random,8,474815,0.06546920537948608,0.11761164665222168,0.0878824583777077,1.0155263720486574,1.003057837486267
random,9,474815,0.11761164665222168,0.2343684434890747,0.1689287887566785,1.0531372609416847,1.038177490234375
random,10,474814,0.23436850309371948,1.1556590795516968,0.37991269137920836,1.1444510898133693,1.127928376197815
